Neighbourhood Name,Agincourt South-Malvern West,Agincourt North,Milliken,Morningside Heights,Malvern West,Malvern East
          Wolof,0,0,0,0,0,0
          Yoruba,0,0,0,0,0,0
"          Niger-Congo languages, n.i.e.",0,0,0,0,0,0
        Nilo-Saharan languages,0,0,0,0,0,0
          Dinka,0,0,0,0,0,0
          Nuer,0,0,0,0,0,0
"          Nilo-Saharan languages, n.i.e.",0,0,0,0,0,0
"          African, n.o.s.",0,0,0,0,0,0
        Sign languages,0,0,10,10,0,15
          American Sign Language,0,0,10,10,0,15
          Quebec Sign Language,0,0,0,0,0,0
"          Sign languages, n.i.e.",0,0,0,0,0,0
        Sino-Tibetan languages,7305,11075,11895,635,720,1245
          Chinese languages,7275,11065,11895,635,705,1245
            Hakka,50,120,185,75,15,0
            Mandarin,3290,3545,4495,235,185,440
            Min Dong,0,35,100,0,0,0
"            Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",50,60,75,0,0,0
            Wu (Shanghainese),20,60,20,0,0,0
            Yue (Cantonese),3810,7205,6935,320,490,765
"            Chinese, n.o.s.",50,40,75,0,0,15
"            Chinese languages, n.i.e.",0,0,0,0,0,0
          Tibeto-Burman languages,0,0,0,0,0,0
            Burmese,0,0,0,0,0,0
            Kuki-Chin languages,0,0,0,0,0,0
            Karenic languages,0,0,0,0,0,0
              S'gaw Karen,0,0,0,0,0,0
"              Karenic languages, n.i.e.",0,0,0,0,0,0
            Tibetan,0,0,0,0,0,0
"            Tibeto-Burman languages, n.i.e.",0,0,0,0,0,0
"          Sino-Tibetan languages, n.i.e.",0,0,0,0,0,0
        Tai-Kadai languages,0,0,10,0,0,0
          Lao,0,0,0,0,0,0
          Thai,0,0,0,0,0,0
"          Tai-Kadai languages, n.i.e.",0,0,10,0,0,0
        Turkic languages,0,0,0,0,0,0
          Azerbaijani,0,0,0,0,0,0
          Kazakh,0,0,0,0,0,0
          Turkish,0,0,0,0,0,0
          Uyghur,0,0,0,0,0,0
          Uzbek,0,0,0,0,0,0
"          Turkic languages, n.i.e.",0,0,0,0,0,0
        Uralic languages,45,0,0,0,0,10
          Estonian,0,0,0,0,0,0
          Finnish,0,0,0,0,0,0
          Hungarian,30,0,0,0,0,10
"        Other languages, n.i.e.",0,0,0,0,0,0
  Multiple responses,2130,2540,2280,3170,2115,2890
    English and French,20,15,20,35,30,65
    English and non-official language(s),2030,2470,2210,3060,2035,2670
    French and non-official language(s),0,0,0,0,0,20
"    English, French and non-official language(s)",10,15,20,15,40,65
    Multiple non-official languages,65,30,25,50,0,80
Total - Other language(s) spoken regularly at home for the population in private households - 25% sample data,24170,27540,23985,24940,17320,26095
  None,16520,18515,16705,16495,11560,18935
  English,3070,3965,3075,3705,2420,3240
  French,105,105,100,145,115,185
  Non-official language,3340,3810,3210,3765,2445,2895
    Indigenous,0,0,0,0,0,0
    Non-Indigenous,3340,3810,3210,3765,2440,2885
  English and French,10,30,15,10,25,0
  English and non-official language(s),590,670,555,400,395,415
  French and non-official language(s),65,95,80,80,80,95
"  English, French and non-official language(s)",0,15,0,0,0,0
  Multiple non-official languages,460,330,245,335,280,335
Total - Knowledge of languages for the population in private households - 25% sample data,24170,27540,23985,24940,17320,26095
  Official languages,20875,22205,17820,23550,16470,25095
    English,20875,22185,17815,23535,16440,25075
    French,970,1125,585,1080,720,1110
  Non-official languages,18090,21900,19835,17290,11535,14810
    Indigenous languages,0,0,0,0,0,15
      Algonquian languages,0,0,0,0,0,15
        Blackfoot,0,0,0,0,0,0
        Cree-Innu languages,0,0,0,0,0,0
          Atikamekw,0,0,0,0,0,0
          Cree languages,0,0,0,0,0,0
            Ililimowin (Moose Cree),0,0,0,0,0,0
            Inu Ayimun (Southern East Cree),0,0,0,0,0,0
            Iyiyiw-Ayimiwin (Northern East Cree),0,0,0,0,0,0
            Nehinawewin (Swampy Cree),0,0,0,0,0,0
            Nehiyawewin (Plains Cree),0,0,0,0,0,0
            Nihithawiwin (Woods Cree),0,0,0,0,0,0
"            Cree, n.o.s.",0,0,0,0,0,0
          Innu (Montagnais),0,0,0,0,0,0
          Naskapi,0,0,0,0,0,0
        Eastern Algonquian languages,0,0,0,0,0,0
          Mi'kmaq,0,0,0,0,0,0
          Wolastoqewi (Malecite),0,0,0,0,0,0
        Ojibway-Potawatomi languages,0,0,0,0,0,0
          Anicinabemowin (Algonquin),0,0,0,0,0,0
          Oji-Cree,0,0,0,0,0,0
          Ojibway languages,0,0,0,0,0,0
            Anishinaabemowin (Chippewa),0,0,0,0,0,0
            Daawaamwin (Odawa),0,0,0,0,0,0
            Saulteau (Western Ojibway),0,0,0,0,0,0
"            Ojibway, n.o.s.",0,0,0,0,0,0
"        Algonquian languages, n.i.e.",0,0,0,0,0,0
      Athabaskan languages,0,0,0,0,0,0
        Northern Athabaskan languages,0,0,0,0,0,0
          Dakelh (Carrier),0,0,0,0,0,0
          Dane-zaa (Beaver),0,0,0,0,0,0
"          Dene, n.o.s.",0,0,0,0,0,0
          Gwich'in,0,0,0,0,0,0
          Slavey-Hare languages,0,0,0,0,0,0
            Deh Gah Ghotie Zhatie (South Slavey),0,0,0,0,0,0
            Satuotine Yati (North Slavey),0,0,0,0,0,0
"            Slavey, n.o.s.",0,0,0,0,0,0
          Tahltan languages,0,0,0,0,0,0
            Kaska (Nahani),0,0,0,0,0,0
            Tahltan,0,0,0,0,0,0
          Tlicho (Dogrib),0,0,0,0,0,0
          Tse'khene (Sekani),0,0,0,0,0,0
          Tsilhqot'in (Chilcotin),0,0,0,0,0,0
          Tsuu T'ina (Sarsi),0,0,0,0,0,0
          Tutchone languages,0,0,0,0,0,0
            Northern Tutchone,0,0,0,0,0,0
            Southern Tutchone,0,0,0,0,0,0
"            Tutchone, n.o.s.",0,0,0,0,0,0
          Wetsuwet'en-Babine,0,0,0,0,0,0
        Tlingit,0,0,0,0,0,0
"        Athabaskan languages, n.i.e.",0,0,0,0,0,0
      Haida,0,0,0,0,0,0
      Inuktut (Inuit) languages,0,0,0,0,0,0
        Inuinnaqtun (Inuvialuktun),0,0,0,0,0,0
          Inuinnaqtun,0,0,0,0,0,0
          Inuvialuktun,0,0,0,0,0,0
        Inuktitut,0,0,0,0,0,0
"        Inuktut (Inuit) languages, n.i.e.",0,0,0,0,0,0
      Iroquoian languages,0,0,0,0,0,0
        Cayuga,0,0,0,0,0,0
        Mohawk,0,0,0,0,0,0
        Oneida,0,0,0,0,0,0
"        Iroquoian languages, n.i.e.",0,0,0,0,0,0
      Ktunaxa (Kutenai),0,0,0,0,0,0
      Michif,0,0,0,0,0,0
      Salish languages,0,0,0,0,0,0
        Halkomelem,0,0,0,0,0,0
        Lillooet,0,0,0,0,0,0
        Ntlakapamux (Thompson),0,0,0,0,0,0
        Secwepemctsin (Shuswap),0,0,0,0,0,0
        Squamish,0,0,0,0,0,0
        Straits,0,0,0,0,0,0
        Syilx (Okanagan),0,0,0,0,0,0
"        Salish languages, n.i.e.",0,0,0,0,0,0
      Siouan languages,0,0,0,0,0,0
        Assiniboine,0,0,0,0,0,0
        Dakota,0,0,0,0,0,0
        Stoney,0,0,0,0,0,0
"        Siouan languages, n.i.e.",0,0,0,0,0,0
      Tsimshian languages,0,0,0,0,0,0
        Gitxsan (Gitksan),0,0,0,0,0,0
        Nisga'a,0,0,0,0,0,0
        Tsimshian,0,0,0,0,0,0
      Wakashan languages,0,0,0,0,0,0
        Haisla,0,0,0,0,0,0
        Heiltsuk,0,0,0,0,0,0
        Kwak'wala (Kwakiutl),0,0,0,0,0,0
        Nuu-chah-nulth (Nootka),0,0,0,0,0,0
"        Wakashan languages, n.i.e.",0,0,0,0,0,0
"      Indigenous languages, n.i.e.",0,0,0,0,0,0
"      Indigenous languages, n.o.s.",0,0,0,0,0,0
    Non-Indigenous languages,18090,21900,19835,17290,11535,14795
      Afro-Asiatic languages,410,490,100,365,580,670
        Berber languages,0,0,0,0,10,0
          Kabyle,0,0,0,0,10,0
          Tamazight,0,0,0,0,0,0
"          Berber languages, n.i.e.",0,0,0,0,0,0
        Chadic languages,0,0,0,0,0,0
          Hausa,0,0,0,0,0,0
          Mina,0,0,0,0,0,0
        Coptic,0,0,0,0,0,0
        Cushitic languages,0,35,0,85,60,105
          Bilen,0,0,0,0,0,0
          Oromo,0,0,0,0,0,0
          Somali,0,35,0,80,50,90
"          Cushitic languages, n.i.e.",0,0,0,0,0,0
        Semitic languages,385,460,95,320,545,575
          Amharic,20,10,0,65,155,125
          Arabic,335,445,95,245,385,405
          Aramaic languages,0,0,0,0,0,0
            Assyrian Neo-Aramaic,0,0,0,0,0,0
            Chaldean Neo-Aramaic,0,0,0,0,0,0
"            Aramaic, n.o.s.",0,0,0,0,0,0
          Harari,0,0,0,0,30,0
          Hebrew,10,0,0,0,0,0
          Maltese,10,0,0,0,0,0
          Tigrigna,35,0,0,0,20,45
"          Semitic languages, n.i.e.",0,0,0,0,0,0
      Austro-Asiatic languages,330,295,225,125,145,220
        Khmer (Cambodian),0,0,10,0,0,0
        Vietnamese,330,290,210,115,145,220
"        Austro-Asiatic languages, n.i.e",0,0,0,0,0,0
      Austronesian languages,900,1270,1085,1700,1760,2785
        Bikol,25,0,0,15,0,25
"        Bisaya, n.o.s.",0,0,0,20,0,0
        Cebuano,0,40,20,25,65,40
        Fijian,0,0,0,0,0,0
        Hiligaynon,0,20,0,40,35,35
        Ilocano,75,70,40,105,180,275
        Indonesian,15,90,20,25,20,30
        Kankanaey,0,0,0,0,0,0
        Kinaray-a,0,0,0,0,0,0
        Malagasy languages,0,0,0,0,0,0
          Merina,0,0,0,0,0,0
"          Malagasy, n.o.s.",0,0,0,0,0,0
        Malay,45,0,15,15,10,0
"        Pampangan (Kapampangan, Pampango)",10,35,10,35,0,20
        Pangasinan,0,0,0,0,0,15
"        Tagalog (Pilipino, Filipino)",825,1145,985,1645,1680,2730
        Waray-Waray,15,0,35,0,0,0
"        Austronesian languages, n.i.e.",0,0,0,30,20,65
      Creole languages,40,85,0,135,115,125
        Haitian Creole,0,15,0,40,15,65
        Jamaican English Creole,0,10,0,15,0,40
        Krio,0,0,0,0,0,0
        Morisyen,25,25,0,15,0,0
        Sango,0,0,0,0,0,0
"        Creole, n.o.s.",0,30,0,40,50,10
"        Creole languages, n.i.e.",10,0,0,20,0,10
      Dravidian languages,1975,2920,1600,9600,2875,3850
        Kannada,35,0,0,25,35,55
        Malayalam,315,80,85,315,145,145
        Tamil,1495,2765,1465,9190,2725,3605
        Telugu,230,90,70,170,40,145
        Tulu,0,0,0,0,20,0
"        Dravidian languages, n.i.e.",0,0,0,0,0,0
      Georgian,0,0,0,0,0,0
      Hmong-Mien languages,0,0,0,0,0,0
      Indo-European languages,5070,3115,1690,4650,5065,5245
        Albanian,20,0,0,0,0,0
        Armenian,90,120,55,0,0,0
        Balto-Slavic languages,255,165,90,135,120,250
        Baltic languages,0,10,10,0,0,0
            Latvian,0,0,0,0,0,0
            Lithuanian,0,0,0,0,0,0
          Slavic languages,255,160,80,135,120,250
            Belarusian,0,0,0,0,0,0
            Bulgarian,0,0,0,0,0,0
            Czech,0,0,0,0,10,45
            Macedonian,50,40,30,15,15,20
            Polish,55,20,10,15,20,100
            Russian,80,60,20,40,45,65
            Rusyn,0,0,0,0,0,0
            Serbo-Croatian,45,15,35,60,20,25
              Bosnian,0,0,0,0,0,0
              Croatian,20,15,20,0,0,15
              Serbian,40,0,25,45,10,10
"              Serbo-Croatian, n.i.e.",0,0,0,0,0,0
            Slovak,0,0,0,0,0,15
            Slovene (Slovenian),0,0,0,0,0,0
            Ukrainian,65,25,15,25,0,25
"            Slavic languages, n.i.e.",0,0,0,0,0,0
        Celtic languages,0,0,0,0,0,0
          Irish,0,0,0,0,0,0
          Scottish Gaelic,0,0,0,0,0,0
          Welsh,0,0,0,0,0,0
"          Celtic languages, n.i.e.",0,0,0,0,0,0
        Germanic languages,120,115,45,30,50,65
          Frisian,0,0,0,0,0,0
          High German languages,105,95,45,25,50,45
            German,105,95,45,25,50,45
            Pennsylvania German,0,0,0,0,0,0
            Swiss German,0,0,0,0,0,0
            Yiddish,0,0,0,0,0,0
          Low Saxon-Low Franconian languages,0,15,10,10,0,15
            Afrikaans,0,0,0,0,0,0
            Dutch,0,0,10,10,0,0
"            Low German, n.o.s.",0,0,0,0,0,0
            Low Saxon,0,0,0,0,0,0
            Plautdietsch,0,0,0,0,0,0
            Vlaams (Flemish),0,0,0,0,0,0
          Scandinavian languages,0,0,0,0,0,0
            Danish,0,0,0,0,0,0
            Icelandic,0,0,0,0,0,0
            Norwegian,0,0,0,0,0,0
            Swedish,0,0,0,0,0,0
"          Germanic languages, n.i.e.",0,0,0,0,0,0
        Greek,395,185,125,0,30,35
        Indo-Iranian languages,3265,2135,1160,4160,4595,4350
          Indo-Aryan languages,3080,1915,1050,3960,4430,4160
            Assamese,0,0,0,0,0,0
            Bengali,345,115,85,345,420,595
            Gujarati,780,340,160,1255,1195,900
            Hindi,1630,915,620,1395,1305,1670
            Kacchi,45,45,0,60,0,30
            Kashmiri,0,0,0,10,0,0
            Konkani,40,20,20,0,0,55
            Marathi,110,75,45,25,50,155
            Nepali,35,0,0,30,50,30
            Oriya languages,15,0,0,0,0,50
              Odia,15,0,0,0,0,25
"              Oriya, n.o.s.",0,0,0,0,0,25
            Punjabi (Panjabi),365,300,230,700,730,930
            Rohingya,0,0,0,0,0,0
            Sindhi,0,25,0,0,0,0
            Sinhala (Sinhalese),135,165,65,275,145,225
            Urdu,850,520,230,1090,2020,1375
"            Indo-Aryan languages, n.i.e.",0,0,0,0,25,40
          Iranian languages,255,270,130,240,210,270
            Baluchi,0,0,0,0,0,0
            Kurdish,0,20,0,0,0,0
            Parsi,0,0,0,0,0,0
            Pashto,25,105,35,30,95,115
            Persian languages,255,160,120,230,140,185
              Dari,155,145,60,225,70,140
              Iranian Persian,80,15,45,0,70,40
"              Persian (Farsi), n.o.s.",25,0,0,0,0,10
"            Iranian languages, n.i.e.",0,0,0,0,0,0
"          Indo-Iranian languages, n.i.e.",0,0,0,0,0,0
        Italic (Romance) languages,1020,515,275,350,300,615
          Catalan,0,0,0,0,0,0
          Italian,405,90,60,70,55,75
          Portuguese,105,80,45,30,15,65
          Romanian,45,10,20,20,50,15
          Spanish,490,350,150,225,190,495
"          Italic (Romance) languages, n.i.e.",10,0,0,0,0,0
"        Indo-European languages, n.i.e.",0,0,0,0,0,0
      Japanese,50,80,60,10,20,20
      Korean,130,70,30,0,25,85
      Mongolian,0,0,0,0,0,0
      Niger-Congo languages,215,140,30,195,280,440
        Akan (Twi),10,0,0,35,55,35
        Bamanankan,0,0,0,0,0,0
        Edo,0,0,0,10,0,20
        Éwé,0,0,0,0,0,0
"        Fulah (Pular, Pulaar, Fulfulde)",0,0,0,0,0,0
        Ga,0,0,0,0,0,0
        Ganda,0,0,0,10,0,25
        Gikuyu,0,0,0,0,25,15
        Igbo,0,15,0,20,25,45
        Kinyarwanda (Rwanda),0,0,0,0,0,15
        Lingala,30,0,0,0,25,70
        Luba-Kasai,0,0,0,0,0,0
        Mòoré,0,0,0,0,0,0
        Mwani,0,0,0,0,0,0
        Ndebele,0,0,0,0,0,0
        Rundi (Kirundi),0,0,0,0,0,20
        Shona,0,0,0,0,0,0
        Soninke,0,0,0,0,0,0
        Sotho-Tswana languages,0,0,0,0,0,0
        Swahili,85,75,10,30,55,90
        Wojenaka,0,0,0,0,0,0
        Wolof,0,0,0,0,0,0
        Yoruba,50,20,0,50,45,125
"        Niger-Congo languages, n.i.e.",40,20,0,0,35,30
      Nilo-Saharan languages,20,0,0,0,0,0
        Dinka,0,0,0,0,0,0
        Nuer,0,0,0,0,0,0
"        Nilo-Saharan languages, n.i.e.",20,0,0,0,0,0
"        African, n.o.s.",0,0,0,0,0,0
      Sign languages,0,15,30,20,25,30
        American Sign Language,0,0,30,20,25,30
        Quebec Sign Language,0,0,0,0,0,0
"        Sign languages, n.i.e.",0,0,0,0,0,0
      Sino-Tibetan languages,9880,14240,15625,970,1085,1785
        Chinese languages,9845,14220,15610,970,1055,1775
          Hakka,145,345,360,125,35,15
          Mandarin,5785,7145,8075,515,490,840
          Min Dong,0,60,150,0,0,0
"          Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",190,230,285,15,25,75
          Wu (Shanghainese),40,80,85,0,0,0
          Yue (Cantonese),5575,9605,9530,490,730,1155
"          Chinese, n.o.s.",75,70,85,0,10,20
"          Chinese languages, n.i.e.",0,0,0,0,0,0
        Tibeto-Burman languages,0,25,20,0,35,10
          Burmese,0,20,0,0,0,0
          Kuki-Chin languages,0,0,0,0,0,0
          Karenic languages,0,0,0,0,0,0
            S'gaw Karen,0,0,0,0,0,0
"            Karenic languages, n.i.e.",0,0,0,0,0,0
          Tibetan,0,0,0,0,0,0
"          Tibeto-Burman languages, n.i.e.",0,0,0,0,35,0
"        Sino-Tibetan languages, n.i.e.",0,0,0,0,0,0
      Tai-Kadai languages,10,10,25,25,0,20
        Lao,0,0,0,0,0,15
        Thai,10,0,0,0,0,0
"        Tai-Kadai languages, n.i.e.",0,0,25,0,0,0
      Turkic languages,60,25,30,30,35,20
        Azerbaijani,0,0,0,0,10,0
        Kazakh,0,0,0,0,0,0
        Turkish,60,20,30,30,25,0
        Uyghur,0,0,0,0,0,0
        Uzbek,0,0,0,0,0,0
"        Turkic languages, n.i.e.",0,0,0,0,0,0
      Uralic languages,65,20,40,0,0,40
        Estonian,0,0,0,0,0,0
        Finnish,10,0,0,0,0,15
        Hungarian,40,15,30,0,0,20
"      Other languages, n.i.e.",0,0,0,0,0,0
Total - Indigenous identity for the population in private households - 25% sample data,24170,27540,23980,24940,17320,26100
  Indigenous identity,95,50,10,85,75,255
    Single Indigenous responses,80,50,10,85,75,255
      First Nations (North American Indian),30,25,0,45,35,165
      Métis,50,30,0,40,45,75
      Inuk (Inuit),0,0,0,0,0,0
    Multiple Indigenous responses,0,0,0,0,0,0
    Indigenous responses not included elsewhere,0,0,0,0,0,0
  Non-Indigenous identity,24080,27485,23970,24850,17240,25845
Total - Registered or Treaty Indian status for the population in private households - 25% sample data,24170,27540,23980,24940,17320,26100
  Registered or Treaty Indian,15,10,0,0,0,80
  Not a Registered or Treaty Indian,24160,27525,23980,24940,17315,26010
Total - Indigenous ancestry for the population in private households - 25% sample data,24170,27540,23980,24940,17320,26100
  Indigenous ancestry (only),30,0,0,20,20,90
    Single Indigenous ancestry (only),25,0,0,20,20,90
      First Nations (North American Indian) single ancestry,0,0,0,0,0,60
      Métis single ancestry,15,0,0,0,0,30
      Inuit single ancestry,0,0,0,0,0,0
    Multiple Indigenous ancestries (only),0,0,0,0,0,0
      First Nations (North American Indian) and Métis ancestry only,0,0,0,0,0,0
      First Nations (North American Indian) and Inuit ancestry only,0,0,0,0,0,0
      Métis and Inuit ancestry only,0,0,0,0,0,0
      First Nations (North American Indian) and Métis and Inuit ancestry only,0,0,0,0,0,0
  Indigenous and non-Indigenous ancestries,50,85,10,50,60,145
    Single Indigenous and non-Indigenous ancestries,50,85,10,50,60,145
      First Nations (North American Indian) and non-Indigenous ancestry only,45,60,0,30,50,135
      Métis and non-Indigenous ancestry only,10,0,0,0,10,10
      Inuit and non-Indigenous ancestry only,0,0,0,0,0,0
    Multiple Indigenous and non-Indigenous ancestries,0,0,0,0,0,0
      First Nations (North American Indian) and Métis and non-Indigenous ancestry only,0,0,0,0,0,0
      First Nations (North American Indian) and Inuit and non-Indigenous ancestry only,0,0,0,0,0,0
      Métis and Inuit and non-Indigenous ancestry only,0,0,0,0,0,0
      First Nations (North American Indian) and Métis and Inuit and non-Indigenous ancestry only,0,0,0,0,0,0
  Non-Indigenous ancestry only,24085,27450,23970,24875,17235,25855
Total - Citizenship for the population in private households - 25% sample data,24170,27540,23980,24940,17320,26100
  Canadian citizens,18595,22145,18795,21880,14535,22020
    Canadian citizens aged under 18,3160,3700,3500,4770,3210,4270
    Canadian citizens aged 18 and over,15440,18440,15295,17110,11325,17760
  Not Canadian citizens,5570,5395,5190,3060,2785,4070
Total - Immigrant status and period of immigration for the population in private households - 25% sample data,24170,27540,23980,24940,17320,26100
  Non-immigrants,7370,7700,6475,9110,6080,9320
  Immigrants,14890,18665,16300,15130,10465,15745
    Before 1980,2075,2460,1885,1545,1210,2005
    1980 to 1990,2130,2695,2475,2075,1300,2285
    1991 to 2000,3975,5245,4755,5430,2905,4215
    2001 to 2010,3385,4660,4325,3960,2830,4015
    2011 to 2021,3320,3605,2865,2125,2220,3220
      2011 to 2015,1315,1835,1510,1085,1125,1615
      2016 to 2021,2010,1770,1355,1040,1100,1605
  Non-permanent residents,1910,1175,1200,700,770,1035
Total - Age at immigration for the immigrant population in private households - 25% sample data,14890,18665,16300,15130,10465,15745
  Under 5 years,835,815,705,695,615,885
  5 to 14 years,1930,2255,1550,2105,1520,2360
  15 to 24 years,2710,3030,3145,3430,2005,3050
  25 to 44 years,7500,9200,7945,7120,5170,7575
  45 years and over,1925,3365,2960,1785,1155,1875
Total - Place of birth for the immigrant population in private households - 25% sample data,14890,18665,16300,15130,10465,15745
  Americas,1410,1515,975,2670,2110,4075
    Brazil,10,0,0,0,0,0
    Colombia,20,20,0,0,0,35
    El Salvador,15,0,0,15,20,35
    Guyana,365,320,285,1195,600,1325
    Haiti,0,0,0,40,25,90
    Jamaica,390,505,375,665,745,1195
    Mexico,30,20,0,0,15,50
    Peru,30,10,0,30,10,20
    Trinidad and Tobago,195,205,85,395,320,635
    United States of America,60,90,65,55,55,75
    Other places of birth in Americas,275,335,150,270,325,620
  Europe,1015,535,335,255,315,575
    Bosnia and Herzegovina,0,0,0,0,10,0
    Croatia,0,0,0,0,0,0
    France,10,0,0,0,0,15
    Germany,55,50,15,25,10,40
    Greece,210,100,70,0,20,15
    Hungary,25,10,20,0,0,10
    Italy,270,65,55,20,35,25
    Netherlands,0,0,10,0,0,25
    Poland,25,20,10,15,25,80
    Portugal,30,25,0,25,0,20
    Romania,40,15,0,10,55,10
    Russian Federation,35,10,0,0,0,20
    Serbia,15,0,0,0,0,10
    Ukraine,20,20,15,0,10,25
    United Kingdom,170,175,85,70,90,190
    Other places of birth in Europe,110,35,35,25,30,85
  Africa,470,400,165,520,555,900
    Algeria,0,0,0,0,85,10
"    Congo, Democratic Republic of the",20,0,0,20,10,95
    Egypt,30,60,30,20,35,75
    Eritrea,15,0,0,0,10,40
    Ethiopia,20,10,0,70,105,130
    Morocco,0,0,0,25,0,35
    Nigeria,75,10,0,110,40,105
    Somalia,25,20,0,40,20,65
"    South Africa, Republic of",0,25,50,15,0,20
    Other places of birth in Africa,270,250,85,225,260,330
  Asia,11990,16210,14795,11650,7455,10150
    Afghanistan,125,105,55,160,60,125
    Iran,55,35,15,10,50,30
    Iraq,20,105,10,65,20,0
    Lebanon,55,60,15,0,0,10
    Syria,65,25,0,0,75,95
    Turkey,25,0,15,30,0,0
    China,5210,7920,8555,420,520,790
    Hong Kong,1420,2150,2380,125,195,455
"    Korea, South",85,45,20,0,0,70
    Taiwan,195,165,135,25,0,25
    Philippines,860,1215,990,1655,1615,2605
    Viet Nam,415,470,380,110,180,245
    Bangladesh,185,65,55,250,330,415
    India,1440,1035,810,2050,1695,1835
    Pakistan,345,350,120,510,710,685
    Sri Lanka,990,1950,940,5945,1765,2430
    Other places of birth in Asia,495,520,310,285,210,335
  Oceania and other places of birth,0,0,35,35,25,35
Total - Place of birth for the recent immigrant population in private households - 25% sample data,2010,1770,1355,1040,1100,1605
  Americas,100,110,60,85,90,110
    Brazil,10,0,0,0,0,0
    Colombia,0,0,0,0,0,0
    Haiti,0,0,0,0,0,10
    Jamaica,20,25,10,15,35,25
    Mexico,0,0,0,0,0,30
    United States of America,15,15,20,10,15,0
    Venezuela,20,0,0,0,0,0
    Other places of birth in Americas,35,65,25,60,35,35
  Europe,40,0,10,0,25,55
    France,0,0,0,0,0,10
    Germany,0,0,0,0,0,0
    Ireland,0,0,0,0,0,0
    Italy,0,0,0,0,0,0
    Russian Federation,0,0,0,0,0,0
    Ukraine,0,0,0,0,0,0
    United Kingdom,0,0,0,0,0,0
    Other places of birth in Europe,25,0,0,0,25,35
  Africa,75,0,0,40,65,180
    Algeria,0,0,0,0,0,0
    Burundi,0,0,0,0,0,0
    Cameroon,0,0,0,0,0,0
"    Congo, Democratic Republic of the",0,0,0,0,0,0
    Côte d'Ivoire,0,0,0,0,0,0
    Egypt,0,0,0,0,0,35
    Eritrea,0,0,0,0,0,20
    Ethiopia,0,0,0,0,15,0
    Morocco,0,0,0,0,0,10
    Nigeria,45,0,0,35,20,20
    Somalia,0,0,0,0,0,0
"    South Africa, Republic of",0,0,0,0,0,0
    Sudan,0,0,0,0,0,0
    Tunisia,0,0,0,0,0,0
    Other places of birth in Africa,10,0,0,0,35,55
  Asia,1790,1645,1285,915,920,1265
    Afghanistan,45,35,0,40,0,0
    Bangladesh,35,0,35,0,110,70
    China,605,925,975,25,30,105
    Hong Kong,15,20,15,0,0,0
    India,765,280,120,360,360,510
    Iran,0,0,0,0,0,0
    Iraq,0,10,0,0,0,0
    Israel,0,0,0,0,0,0
    Japan,0,0,0,0,0,0
    Jordan,0,0,0,0,0,0
"    Korea, South",0,0,0,0,0,0
    Lebanon,0,0,0,0,0,0
    Nepal,0,0,0,0,0,0
    Pakistan,25,60,10,35,30,55
    Philippines,90,105,65,30,180,240
    Saudi Arabia,25,0,0,0,0,0
    Sri Lanka,60,100,20,305,90,130
    Syria,55,0,0,0,70,85
    Turkey,0,0,10,30,0,0
    United Arab Emirates,0,0,0,10,0,0
    Viet Nam,10,30,15,0,0,0
    Other places of birth in Asia,30,30,0,0,10,15
  Oceania and other,0,0,0,0,0,0
    Australia,0,0,0,0,0,0
    Other places of birth,0,0,0,0,0,0
Total - Generation status for the population in private households - 25% sample data,24170,27540,23980,24940,17320,26100
  First generation,16980,20120,17710,15960,11390,16930
  Second generation,5805,6430,5585,8165,5020,6915
  Third generation or more,1380,985,690,815,905,2250
Total - Admission category and applicant type for the immigrant population in private households who were admitted between 1980 and 2021 - 25% sample data,12815,16205,14415,13585,9255,13735
  Economic immigrants,6010,6060,5125,4215,3905,5910
    Principal applicants,2850,2795,2365,1920,1685,2585
    Secondary applicants,3160,3260,2760,2300,2220,3325
  Immigrants sponsored by family,4455,6400,6485,5545,3435,5290
  Refugees,1930,3095,2250,3540,1700,2330
  Other immigrants,425,655,555,285,210,210
Total - Pre-admission experience for the immigrant population in private households who were admitted between 1980 and 2021 - 25% sample data,12815,16205,14415,13585,9255,13735
  Asylum claim before admission,1330,2100,1690,2570,1050,1605
  Work permits only before admission,890,920,645,1155,795,1460
  Study permits only before admission,260,245,300,105,75,140
  Work and study permits before admission,765,520,495,365,260,555
  Other permits before admission,50,65,70,65,60,65
  No pre-admission experience,9525,12340,11225,9325,7010,9915
Total - Visible minority for the population in private households - 25% sample data,24170,27540,23980,24940,17320,26100
  Total visible minority population,21045,25390,22790,24050,15920,23285
    South Asian,5265,5290,2810,15370,8045,9350
    Chinese,10505,15025,16595,1135,1120,1805
    Black,1775,1450,1050,2675,2910,5065
    Filipino,1120,1515,1075,2255,2105,3330
    Arab,215,200,55,210,200,325
    Latin American,375,180,110,225,180,530
    Southeast Asian,310,270,225,235,205,345
    West Asian,270,195,145,250,180,215
    Korean,130,55,30,0,20,85
    Japanese,35,40,45,0,0,35
"    Visible minority, n.i.e.",410,240,90,1005,425,1260
    Multiple visible minorities,645,940,550,685,530,940
  Not a visible minority,3120,2155,1190,890,1400,2810
Total - Ethnic or cultural origin for the population in private households - 25% sample data,24170,27540,23980,24940,17320,26100
  Canadian,745,875,625,1150,810,1780
  English,580,445,360,305,240,770
  Irish,435,340,230,190,245,730
  Scottish,455,390,205,160,315,635
